iter	Passed	Remaining
0	166	166169
1	175	87476
2	183	61131
3	191	47789
4	199	39621
5	206	34254
6	214	30415
7	221	27415
8	227	25084
9	235	23275
10	243	21856
11	249	20549
12	256	19449
13	263	18583
14	270	17769
15	276	17023
16	284	16422
17	291	15880
18	299	15443
19	303	14872
20	310	14497
21	317	14128
22	326	13869
23	334	13600
24	342	13339
25	348	13054
26	356	12850
27	363	12624
28	369	12370
29	376	12174
30	383	11977
31	389	11781
32	396	11621
33	403	11469
34	409	11293
35	415	11139
36	422	11002
37	429	10873
38	437	10773
39	444	10679
40	453	10603
41	461	10522
42	469	10441
43	475	10328
44	482	10243
45	488	10135
46	496	10063
47	504	10015
48	512	9951
49	520	9888
50	529	9855
51	536	9780
52	544	9726
53	551	9660
54	558	9593
55	564	9520
56	571	9448
57	577	9375
58	585	9334
59	592	9274
60	598	9215
61	604	9144
62	610	9082
63	617	9029
64	624	8985
65	631	8936
66	637	8875
67	645	8845
68	652	8809
69	660	8780
70	666	8719
71	671	8658
72	679	8630
73	686	8592
74	693	8552
75	699	8508
76	706	8465
77	713	8435
78	719	8387
79	725	8340
80	729	8272
81	734	8226
82	742	8201
83	748	8161
84	754	8121
85	760	8085
86	767	8051
87	774	8026
88	780	7990
89	787	7966
90	793	7927
91	799	7890
92	805	7860
93	811	7822
94	817	7788
95	823	7751
96	828	7717
97	836	7703
98	843	7678
99	850	7658
100	857	7631
101	865	7621
102	874	7618
103	882	7606
104	890	7588
105	897	7569
106	904	7551
107	911	7531
108	918	7512
109	926	7497
110	933	7480
111	940	7457
112	947	7436
113	953	7412
114	961	7395
115	968	7379
116	975	7359
117	982	7346
118	990	7332
119	997	7314
120	1003	7290
121	1010	7273
122	1017	7254
123	1024	7235
124	1031	7223
125	1037	7199
126	1044	7181
127	1050	7159
128	1056	7134
129	1064	7123
130	1070	7102
131	1076	7079
132	1083	7062
133	1088	7037
134	1095	7017
135	1101	6996
136	1107	6976
137	1114	6960
138	1120	6937
139	1127	6927
140	1135	6919
141	1143	6909
142	1151	6899
143	1160	6896
144	1167	6881
145	1173	6863
146	1181	6858
147	1191	6858
148	1198	6847
149	1207	6839
150	1215	6834
151	1224	6830
152	1232	6824
153	1239	6811
154	1247	6802
155	1254	6789
156	1261	6774
157	1267	6756
158	1274	6741
159	1281	6729
160	1288	6715
161	1296	6704
162	1303	6690
163	1310	6681
164	1317	6667
165	1324	6655
166	1331	6640
167	1337	6625
168	1344	6612
169	1351	6599
170	1358	6584
171	1365	6572
172	1372	6562
173	1380	6553
174	1386	6537
175	1389	6504
176	1397	6495
177	1403	6479
178	1409	6463
179	1415	6448
180	1421	6433
181	1428	6421
182	1435	6406
183	1441	6392
184	1448	6380
185	1454	6365
186	1461	6353
187	1467	6339
188	1473	6324
189	1481	6315
190	1487	6301
191	1495	6293
192	1501	6279
193	1508	6268
194	1514	6253
195	1520	6238
196	1527	6225
197	1533	6212
198	1541	6204
199	1547	6191
200	1554	6178
201	1561	6167
202	1567	6153
203	1574	6145
204	1581	6134
205	1588	6123
206	1596	6115
207	1604	6108
208	1611	6097
209	1618	6086
210	1626	6081
211	1634	6073
212	1641	6064
213	1650	6063
214	1663	6072
215	1674	6079
216	1685	6080
217	1696	6084
218	1704	6078
219	1712	6071
220	1720	6063
221	1726	6052
222	1734	6042
223	1741	6032
224	1748	6022
225	1756	6014
226	1763	6006
227	1770	5996
228	1777	5985
229	1784	5972
230	1791	5963
231	1797	5950
232	1804	5940
233	1811	5929
234	1818	5920
235	1824	5906
236	1830	5894
237	1837	5882
238	1842	5867
239	1849	5856
240	1855	5842
241	1861	5830
242	1868	5820
243	1875	5811
244	1883	5804
245	1891	5796
246	1898	5787
247	1905	5777
248	1911	5765
249	1918	5755
250	1925	5745
251	1931	5733
252	1938	5724
253	1945	5713
254	1952	5703
255	1958	5692
256	1964	5680
257	1971	5671
258	1978	5659
259	1985	5652
260	1993	5644
261	2000	5634
262	2007	5625
263	2014	5615
264	2021	5606
265	2027	5595
266	2036	5590
267	2042	5579
268	2049	5570
269	2057	5562
270	2064	5553
271	2071	5544
272	2079	5537
273	2087	5530
274	2094	5523
275	2102	5514
276	2109	5506
277	2117	5498
278	2124	5491
279	2132	5484
280	2141	5478
281	2149	5473
282	2157	5465
283	2166	5462
284	2174	5454
285	2182	5448
286	2190	5441
287	2197	5433
288	2204	5424
289	2211	5413
290	2218	5405
291	2224	5394
292	2231	5385
293	2238	5374
294	2245	5366
295	2251	5355
296	2261	5352
297	2268	5343
298	2275	5335
299	2283	5327
300	2290	5318
301	2297	5310
302	2304	5302
303	2311	5291
304	2318	5284
305	2325	5275
306	2333	5268
307	2340	5259
308	2348	5252
309	2355	5243
310	2363	5236
311	2371	5229
312	2378	5220
313	2386	5212
314	2393	5204
315	2401	5197
316	2408	5190
317	2418	5186
318	2422	5171
319	2429	5163
320	2436	5154
321	2447	5154
322	2454	5144
323	2462	5137
324	2469	5128
325	2476	5120
326	2483	5110
327	2490	5102
328	2495	5090
329	2503	5082
330	2511	5075
331	2517	5065
332	2523	5055
333	2530	5045
334	2536	5034
335	2542	5025
336	2548	5014
337	2555	5005
338	2561	4995
339	2567	4984
340	2574	4975
341	2581	4965
342	2587	4956
343	2593	4946
344	2599	4935
345	2605	4925
346	2610	4913
347	2616	4902
348	2623	4893
349	2629	4883
